longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.9179549019951,27.759611334005303,242.18643,47.083126,30,0.36307564,5.2163897,14.312084894107
85.91881670338448,27.757483151340622,241.05394,68.265625,10,0.68195236,4.780184,13.515861436531557
85.94722755345657,27.75131622072218,1.5411178,53.678497,30,0.8063063,4.780184,14.670211829687112
85.94403213291905,27.75136378509641,20.227312,38.43477,10,0.77559054,4.780184,14.839663285115147
85.92774377357715,27.76137788454159,3.0322597,46.053574,10,0.82510823,5.2163897,14.576168451942761
85.92485586213385,27.762856596109252,357.91223,45.12316,10,0.79620034,5.2163897,14.538689077053258
85.91901787416306,27.76190174277726,327.07388,59.774517,10,0.68701553,5.2163897,14.064541377174143
85.91969532693946,27.770431450614332,311.50314,27.157692,10,0.4519573,5.2163897,14.805248152901953
85.91917746004373,27.765945071109925,24.074816,37.3216,10,0.587793,5.2163897,14.770445827053909
85.93162788797163,27.723885521306592,348.91245,58.25942,10,0.8010949,4.780184,14.023181142752538
85.93456642557922,27.718461668431885,37.76158,35.6279,10,0.85515547,4.780184,14.99713198856943
85.76717860570484,27.77433037705996,322.63257,37.00244,10,0.6754855,5.3619227,13.971711230284962
85.68039718815184,27.71637257710023,261.4509,44.422478,10,0.511687,4.021889,13.770638552121435
85.62198039893185,27.77794183623643,186.44847,33.089615,30,0.31438348,4.3611135,14.366576465086316
85.6791950193381,27.76328237207557,259.96396,39.89602,10,0.7064897,4.263062,14.088466618108237
85.71430852369708,27.78767718210888,104.68837,56.869225,10,0.5767801,4.5418735,13.888295132791733
85.63360729469596,27.76230701925869,147.27528,44.460304,30,0.46787903,4.3611135,13.798325109663041
85.67213338519676,27.77102882041749,106.43282,53.939762,10,0.7463515,4.263062,14.078901549896933
85.65264016419465,27.81054117397425,114.53734,31.950829,10,0.7301868,4.4971914,13.980012516693384
85.85358397487711,27.77535685146232,186.83556,47.097702,10,0.70125496,6.0451574,14.487785904894622
85.84039313006416,27.814942076664764,356.26794,40.149403,10,0.698044,5.761692,14.830790571717538
85.87303789234429,27.828877915918085,217.01093,33.78183,30,0.46509275,5.761692,14.34871520451277
85.83898110022498,27.81476460967863,3.529009,60.728226,10,0.6312757,5.761692,13.992120745687176
85.83724352434076,27.81495372830711,41.387474,55.722656,10,0.68375134,5.761692,14.212458807730759
85.83660649817153,27.815493670153536,46.66768,56.480625,10,0.6793226,5.761692,14.17924975637473
85.83181257978977,27.819176325017864,33.55756,55.534794,10,0.7147484,6.7913833,14.514282961662143
85.82998042192558,27.81966629563388,106.979294,58.11565,10,0.64745146,6.7913833,14.511172271710022
85.83037305648102,27.820662440772303,83.897865,59.16374,30,0.47709593,6.7913833,13.55504822625195
85.82903032098974,27.82378096871553,96.11866,67.631386,30,0.60599643,6.7913833,13.903821709805186
85.8290137362237,27.82705347762771,79.5133,38.675953,10,0.7501839,6.7913833,14.624271355604266
85.82833043087264,27.820659495939317,98.385124,23.942616,10,0.40355584,6.7913833,15.46891936336392
85.48493878438704,27.893129874628407,132.47052,34.809246,10,0.60411114,4.496347,14.707124554989965
85.48660549655824,27.89895990716892,104.57066,17.834545,10,0.819016,4.496347,15.09723980659695
85.48758470207204,27.894428221088912,118.91547,26.665186,10,0.7075438,4.496347,15.073819949651304
85.48580976973697,27.90757297936178,175.86871,37.336655,10,0.69491524,4.496347,14.998296277575964
85.48859168365857,27.907817899016734,186.09354,40.78851,10,0.7178757,4.496347,14.807842053950045
85.48844625445815,27.903830510688397,172.14308,33.821613,30,0.5731629,4.496347,14.793873797467313
85.48942351488418,27.90271387708868,151.00351,42.20421,10,0.7007313,4.496347,14.592822948755778
85.48938503700171,27.902317132510404,164.20448,31.2003,10,0.69736093,4.496347,15.102296987374475
85.53301362585832,27.887450548152746,142.97418,38.335915,10,0.48507172,5.103636,14.137689150261561
85.5307935974324,27.8870951758079,163.82262,33.31899,30,0.4834244,5.103636,14.206649256085852
85.52460241526919,27.88697114227621,154.1322,32.197067,30,0.4798651,5.103636,14.266166376563955
85.52140884588317,27.886020177810327,165.74924,39.29636,30,0.5966574,5.103636,14.246583549833474
85.52050284669085,27.88589609060036,176.84111,33.612328,30,0.38400432,5.103636,14.410125655907565
85.52097263213366,27.88589747642753,171.02898,35.17214,30,0.46890044,5.103636,14.164260737971809
85.51624928897157,27.89211849256269,166.73654,38.60063,10,0.5891892,4.607892,14.36042974726038
85.51647316172806,27.89246323284021,168.37546,36.023785,30,0.5251054,4.607892,14.505023200231292
85.51720311718918,27.893389343479747,181.70549,31.608469,30,0.36541063,4.496347,14.561947230160836
85.52005508121363,27.892750300582197,195.00133,32.49057,10,0.55368716,5.2217073,14.701363453385786
85.51889251125421,27.891112587919007,201.31314,26.743933,30,0.54208755,4.607892,14.872321680907296
85.51868844297223,27.8914345027648,229.73509,29.944399,10,0.5795574,4.607892,14.743648665073486
85.51872628313977,27.891743702943742,229.64078,32.002724,30,0.5366902,4.607892,14.807442653297583
